id,tg id,category,summ,date
22,428790218,vit,432,2023-09-19 21:11:25
23,344917183,vit,238,2023-09-19 21:11:58
24,547181606,vit,214,2023-09-19 21:12:00
25,813689840,vit,319,2023-09-19 21:12:00
26,1059806477,vit,65,2023-09-19 21:12:03
27,344927841,vit,364,2023-09-19 21:12:20
28,428790218,vit,432,2023-09-19 21:12:21
29,830175821,vit,313,2023-09-19 21:12:28
30,846591585,vit,284,2023-09-19 21:12:41
31,987969893,vit,204,2023-09-19 21:13:22
32,1049328304,vit,284,2023-09-19 21:14:03
33,545655274,vit,622,2023-09-19 21:15:58
34,904624520,vit,740,2023-09-19 21:17:03
35,344917183,kfc,100,2023-09-19 21:11:58
36,344917183,bk,1002,2023-09-19 21:12:03
371,344917183,vit,3000,2023-09-09 1:11:58
